Código Voluntário;Gênero;Função;Data Início CPM;Turma Atual;Comprometimento;Nível Máximo de Conhecimento;Preferência de Período;Preferência de Turma;Preferência de Faixa Etária
76;Masculino;Volunteacher;2017,2;A.3;6,88;F;Indiferente;Indiferente;Adulto
77;Masculino;Volunteacher;2018,1;E.2;5,09;E;Tarde;Acompanhar meus alunos;Adolescente
78;Feminino;Volunteacher;2018,1;C.2;5,56;F;Indiferente;Indiferente;Indiferente
79;Masculino;Volunteacher;2017,2;D.3;6,85;E;Manhã;Acompanhar meus alunos;Indiferente
80;Masculino;Volunteacher;2017,2;B.2;7,17;E;Tarde;Acompanhar meus alunos;Indiferente
81;Masculino;Volunteacher;2018,1;C.3;5,82;D;Indiferente;Indiferente;Adulto
82;Masculino;Volunteacher;2017,2;D.3;7;D;Indiferente;Acompanhar meus alunos;Indiferente
83;Masculino;Volunteacher;2018,1;D.1;5,97;E;Indiferente;Acompanhar meus alunos;Indiferente
84;Masculino;Volunteacher;2015,2;Teens 2.1.1;8,43;B;Tarde;Permanecer no mesmo nível;Indiferente
85;Masculino;Volunteacher;2017,2;B.1;6,92;C;Tarde;Indiferente;Adolescente
86;Feminino;Volunteacher;2018,1;C.3;5,99;D;Manhã;Permanecer no mesmo nível;Adulto
87;Feminino;Volunteacher;2018,1;A.1;6,05;H;Indiferente;Indiferente;Adolescente
89;Feminino;Volunteacher;2015,1;F.1;9,14;G;Indiferente;Permanecer no mesmo nível;Adolescente
91;Feminino;Volunteacher;2018,1;B.2;5,5;C;Tarde;Indiferente;Adolescente
92;Feminino;Volunteacher;2016,1;E.1;8,06;F;Indiferente;Indiferente;Adulto
